Presidente;Coalizao;Data_ini;Data_fim;Partidos_coalizao;Evento_nova_coalizao;NCad_ini;NCad_fim;NCad_pres_ini;NCad_pres_fim;PCad_ini;PCad_fim;PCad_pres_ini;PCad_pres_fim
Sarney;Sarney 2;1988-10-06T00:00:00Z;1990-03-14T00:00:00Z;PMDB - PFL;Promulgação da Constituição;313;252;202;158;0.6323232323232323;0.509090909090909;0.4080808080808081;0.3191919191919192
Collor;Collor 1;1990-03-15T00:00:00Z;1990-10-12T00:00:00Z;PRN - PFL;Eleição presidencial;119;121;25;30;0.2404040404040404;0.24444444444444444;0.050505050505050504;0.06060606060606061
Collor;Collor 2;1990-10-13T00:00:00Z;1991-01-31T00:00:00Z;PRN - PFL - PDS;PDS entra;151;151;30;29;0.30019880715705766;0.30019880715705766;0.05964214711729622;0.05765407554671968
Collor;Collor 3;1991-02-01T00:00:00Z;1992-04-14T00:00:00Z;PRN - PFL - PDS;Eleição Legislativa;168;162;41;31;0.33399602385685884;0.3220675944333996;0.08151093439363817;0.061630218687872766
Collor;Collor 4;1992-04-15T00:00:00Z;1992-09-30T00:00:00Z;PRN - PFL - PDS - PTB - PL;PTB e PL entram;212;211;31;29;0.42147117296222664;0.4194831013916501;0.061630218687872766;0.05765407554671968
Itamar;Itamar 1;1992-10-01T00:00:00Z;1993-08-30T00:00:00Z;PFL - PTB - PMDB - PSDB - PSB;Impeachment de Collor;268;268;0;0;0.532803180914513;0.532803180914513;0;0
Itamar;Itamar 2;1993-08-31T00:00:00Z;1994-01-24T00:00:00Z;PFL - PTB - PMDB - PSDB - PP;PSB sai e PP entra;296;304;0;0;0.588469184890656;0.6043737574552683;0;0
Itamar;Itamar 3;1994-01-25T00:00:00Z;1994-12-31T00:00:00Z;PFL - PMDB - PSDB - PP;PTB sai;275;277;0;0;0.5467196819085487;0.5506958250497018;0;0
FHC I;FHC I 1;1995-01-01T00:00:00Z;1996-04-25T00:00:00Z;PSDB - PFL - PMDB - PTB;Eleições presidencial e legislativa;289;309;62;85;0.5633528265107213;0.6023391812865497;0.12085769980506822;0.16569200779727095
FHC I;FHC I 2;1996-04-26T00:00:00Z;1998-12-31T00:00:00Z;PSDB - PFL - PMDB - PTB - PPB;PPB entra;396;393;85;94;0.7719298245614035;0.7660818713450293;0.16569200779727095;0.18323586744639375
FHC II;FHC II 1;1999-01-01T00:00:00Z;2002-03-05T00:00:00Z;PSDB - PFL - PMDB - PPB;Eleições presidencial e legislativa;348;327;99;94;0.6783625730994152;0.6374269005847953;0.19298245614035087;0.18323586744639375
FHC II;FHC II 2;2002-03-06T00:00:00Z;2002-12-31T00:00:00Z;PSDB - PMDB - PPB;PFL sai;232;234;94;94;0.4522417153996101;0.45614035087719296;0.18323586744639375;0.18323586744639375
Lula I;Lula I 1;2003-01-01T00:00:00Z;2004-01-22T00:00:00Z;PT - PL - PCdoB - PSB - PTB - PDT - PPS - PV;Eleições presidencial e legislativa;219;254;91;90;0.4269005847953216;0.4951267056530214;0.17738791423001948;0.17543859649122806
Lula I;Lula I 2;2004-01-23T00:00:00Z;2005-01-31T00:00:00Z;PT - PL - PCdoB - PSB - PTB - PPS - PV - PMDB;PDT sai e PMDB entra;319;316;90;90;0.621832358674464;0.6159844054580896;0.17543859649122806;0.17543859649122806
Lula I;Lula I 3;2005-02-01T00:00:00Z;2005-05-19T00:00:00Z;PT - PL - PCdoB - PSB - PTB - PV - PMDB;PPS sai;296;306;90;91;0.5769980506822612;0.5964912280701754;0.17543859649122806;0.17738791423001948
Lula I;Lula I 4;2005-05-20T00:00:00Z;2005-07-22T00:00:00Z;PT - PL - PCdoB - PSB - PTB - PMDB;PV sai;299;302;91;90;0.5828460038986355;0.5886939571150097;0.17738791423001948;0.17543859649122806
Lula I;Lula I 5;2005-07-23T00:00:00Z;2006-12-31T00:00:00Z;PT - PL - PCdoB - PSB - PTB - PMDB - PP;PP entra;357;330;90;81;0.695906432748538;0.6432748538011696;0.17543859649122806;0.15789473684210525
Lula II;Lula II 1;2007-01-01T00:00:00Z;2007-04-01T00:00:00Z;PT - PR - PCdoB - PSB - PTB - PMDB - PP - PRB;Eleições presidencial e legislativa;311;319;83;82;0.6062378167641326;0.621832358674464;0.1617933723196881;0.15984405458089668
Lula II;Lula II 2;2007-04-02T00:00:00Z;2009-09-27T00:00:00Z;PT - PR - PCdoB - PSB - PTB - PMDB - PP - PDT - PRB;PDT entra;348;346;82;79;0.6783625730994152;0.6744639376218323;0.15984405458089668;0.1539961013645224
Lula II;Lula II 3;2009-09-28T00:00:00Z;2010-12-31T00:00:00Z;PT - PR - PCdoB - PSB - PMDB - PP - PDT - PRB;PTB sai;323;319;79;77;0.6296296296296297;0.621832358674464;0.1539961013645224;0.15009746588693956
Dilma I;Dilma I 1;2011-01-01T00:00:00Z;2012-03-01T00:00:00Z;PT - PR - PCdoB - PSB -  PMDB - PDT - PP;Eleições presidencial e legislativa;326;305;88;87;0.6354775828460039;0.594541910331384;0.17153996101364521;0.1695906432748538
Dilma I;Dilma I 2;2012-03-02T00:00:00Z;2013-10-02T00:00:00Z;PT - PR - PCdoB - PSB -  PMDB - PDT - PP- PRB;PRB entra;316;310;87;88;0.6159844054580896;0.6042884990253411;0.1695906432748538;0.17153996101364521
Dilma I;Dilma I 3;2013-10-03T00:00:00Z;2014-12-31T00:00:00Z;PT - PR - PCdoB - PMDB - PDT - PP- PRB;PSB sai;286;278;88;88;0.557504873294347;0.5419103313840156;0.17153996101364521;0.17153996101364521
Dilma II;Dilma II 1;2015-01-01T00:00:00Z;2015-03-18T00:00:00Z;PT - PMDB - PCdoB - PDT - PR - PRB - PP - PROS - PSD - PTB;Eleições presidencial e legislativa;317;286;68;68;0.6179337231968811;0.557504873294347;0.13255360623781676;0.13255360623781676
Dilma II;Dilma II 2;2015-03-19T00:00:00Z;2016-03-16T00:00:00Z;PT - PMDB - PCdoB - PDT - PR - PRB - PP - PSD - PTB;PROS sai;274;273;68;68;0.5341130604288499;0.5321637426900585;0.13255360623781676;0.13255360623781676
Dilma II;Dilma II 3;2016-03-17T00:00:00Z;2016-03-30T00:00:00Z;PT-PMDB-PDT-PCdoB-PR-PP-PSD-PTB;PRB sai;232;232;59;59;0.4522417153996101;0.4522417153996101;0.11500974658869395;0.11500974658869395
Dilma II;Dilma II 4;2016-03-31T00:00:00Z;2016-04-12T00:00:00Z;PT-PCdoB-PDT-PR-PP-PSD-PTB;PMDB sai;232;230;58;58;0.4522417153996101;0.44834307992202727;0.11306042884990253;0.11306042884990253
Dilma II;Dilma II 5;2016-04-13T00:00:00Z;2016-05-11T00:00:00Z;PT-PCdoB-PDT-PR-PSD-PTB;PP sai;185;183;58;58;0.36062378167641324;0.3567251461988304;0.11306042884990253;0.11306042884990253
Temer;Temer I;2016-05-12T00:00:00Z;2016-08-30T00:00:00Z;PMDB-PSDB-PR-PRB-PSD-PTB-DEM-PPS-PP;Afastamento de Dilma;313;310;67;64;0.6101364522417154;0.6042884990253411;0.13060428849902533;0.12475633528265107
Temer;Temer II 1;2016-08-31T00:00:00Z;2017-05-17T00:00:00Z;PMDB-PSDB-PR-PRB-PSD-PTB-DEM-PPS-PP;Impeachment de Dilma;309;309;64;64;0.6023391812865497;0.6023391812865497;0.12475633528265107;0.12475633528265107
Temer;Temer II 2;2017-05-18T00:00:00Z;2019-01-31T00:00:00Z;PMDB-DEM-PSDB-PR-PRB-PSD-PTB-PP;PPS  sai;300;302;64;55;0.5847953216374269;0.6;0.12475633528265107;0.11
Bolsonaro;Bolsonaro 1;2019-01-01T00:00:00Z;2019-11-19T00:00:00Z;PSL;Eleições presidencial e legislativa;52;NA;52;NA;0.10136452241715399;0.1;0.10136452241715399;NA
Bolsonaro;Bolsonaro 2;2019-11-20T00:00:00Z;2022-12-31T00:00:00Z;sem coalizão;PSL sai;NA;NA;NA;NA;NA;NA;NA;NA
